ContaBancaria{id=null, tipoConta=PRATA, limite=500.0, clienteId='abernier@example.com'}
ContaBancaria{id=null, tipoConta=PRATA, limite=500.0, clienteId='farrell.noemy@example.org'}
ContaBancaria{id=null, tipoConta=PRATA, limite=500.0, clienteId='freynolds@example.com'}
ContaBancaria{id=null, tipoConta=PRATA, limite=500.0, clienteId='gleason.daphney@example.com'}
ContaBancaria{id=null, tipoConta=DIAMANTE, limite=5000.0, clienteId='halvorson.ivy@example.net'}
ContaBancaria{id=null, tipoConta=PRATA, limite=500.0, clienteId='harrison.bradtke@example.com'}
ContaBancaria{id=null, tipoConta=PLATINA, limite=2500.0, clienteId='heaney.meggie@example.org'}
ContaBancaria{id=null, tipoConta=DIAMANTE, limite=5000.0, clienteId='hilario79@example.org'}
ContaBancaria{id=null, tipoConta=PRATA, limite=500.0, clienteId='ignatius.kuhlman@example.org'}
ContaBancaria{id=null, tipoConta=PRATA, limite=500.0, clienteId='jacobi.megane@example.com'}
ContaBancaria{id=null, tipoConta=PRATA, limite=500.0, clienteId='julian81@example.com'}
ContaBancaria{id=null, tipoConta=PRATA, limite=500.0, clienteId='kaley41@example.org'}
ContaBancaria{id=null, tipoConta=DIAMANTE, limite=5000.0, clienteId='kariane.marvin@example.org'}
ContaBancaria{id=null, tipoConta=PRATA, limite=500.0, clienteId='klocko.kareem@example.net'}
ContaBancaria{id=null, tipoConta=PRATA, limite=500.0, clienteId='magdalen99@example.org'}
ContaBancaria{id=null, tipoConta=PRATA, limite=500.0, clienteId='maiya.boehm@example.org'}
ContaBancaria{id=null, tipoConta=OURO, limite=1000.0, clienteId='marilyne.mcglynn@example.net'}
ContaBancaria{id=null, tipoConta=DIAMANTE, limite=5000.0, clienteId='marlene.beahan@example.net'}
ContaBancaria{id=null, tipoConta=DIAMANTE, limite=5000.0, clienteId='maurine88@example.org'}
ContaBancaria{id=null, tipoConta=DIAMANTE, limite=5000.0, clienteId='milford.corkery@example.net'}
ContaBancaria{id=null, tipoConta=PLATINA, limite=2500.0, clienteId='milton.white@example.org'}
ContaBancaria{id=null, tipoConta=DIAMANTE, limite=5000.0, clienteId='molly.feil@example.org'}
ContaBancaria{id=null, tipoConta=PRATA, limite=500.0, clienteId='ncorkery@example.org'}
ContaBancaria{id=null, tipoConta=PRATA, limite=500.0, clienteId='octavia.white@example.com'}
ContaBancaria{id=null, tipoConta=DIAMANTE, limite=5000.0, clienteId='oswald.parisian@example.net'}
ContaBancaria{id=null, tipoConta=DIAMANTE, limite=5000.0, clienteId='pfeffer.louisa@example.com'}
ContaBancaria{id=null, tipoConta=PRATA, limite=500.0, clienteId='pink.schoen@example.com'}
ContaBancaria{id=null, tipoConta=DIAMANTE, limite=5000.0, clienteId='qdonnelly@example.net'}
ContaBancaria{id=null, tipoConta=OURO, limite=1000.0, clienteId='qfahey@example.com'}
ContaBancaria{id=null, tipoConta=PRATA, limite=500.0, clienteId='qrau@example.com'}
ContaBancaria{id=null, tipoConta=OURO, limite=1000.0, clienteId='rcorwin@example.org'}
ContaBancaria{id=null, tipoConta=DIAMANTE, limite=5000.0, clienteId='reilly.emmie@example.net'}
ContaBancaria{id=null, tipoConta=PRATA, limite=500.0, clienteId='rex.frami@example.org'}
ContaBancaria{id=null, tipoConta=PRATA, limite=500.0, clienteId='rose71@example.net'}
ContaBancaria{id=null, tipoConta=PLATINA, limite=2500.0, clienteId='rrunolfsdottir@example.org'}
ContaBancaria{id=null, tipoConta=PRATA, limite=500.0, clienteId='salvador.corwin@example.net'}
ContaBancaria{id=null, tipoConta=DIAMANTE, limite=5000.0, clienteId='swaniawski.sophia@example.com'}
ContaBancaria{id=null, tipoConta=DIAMANTE, limite=5000.0, clienteId='sylvester59@example.com'}
ContaBancaria{id=null, tipoConta=PRATA, limite=500.0, clienteId='tbernier@example.com'}
ContaBancaria{id=null, tipoConta=PRATA, limite=500.0, clienteId='trycia.fay@example.org'}
ContaBancaria{id=null, tipoConta=PRATA, limite=500.0, clienteId='ublanda@example.net'}
ContaBancaria{id=null, tipoConta=PRATA, limite=500.0, clienteId='uturner@example.com'}
ContaBancaria{id=null, tipoConta=PRATA, limite=500.0, clienteId='vlittle@example.com'}
ContaBancaria{id=null, tipoConta=PRATA, limite=500.0, clienteId='ward.makenna@example.org'}
ContaBancaria{id=null, tipoConta=DIAMANTE, limite=5000.0, clienteId='xschoen@example.org'}
ContaBancaria{id=null, tipoConta=DIAMANTE, limite=5000.0, clienteId='yundt.eda@example.net'}
ContaBancaria{id=null, tipoConta=PRATA, limite=500.0, clienteId='zkub@example.org'}
